song,artist
MOOD,24KGOLDN FT IANN DIOR
AIN'T IT DIFFERENT,HEADIE ONE/AJ TRACEY/STORMZY
LIGHTER,NATHAN DAWE FT KSI
BAT OUT OF HELL,MEATLOAF
YOUNG AND BEAUTIFUL,LANA DEL RAY
